frame_idx,class,confidence,x1,y1,x2,y2,preprocess_ms,inference_ms,postprocess_ms,total_latency_ms
1,class0,0.6264,213.5,553.2,259.7,613.2,18.74,208.25,4.37,231.36
2,class0,0.4364,321.8,0.0,341.6,234.6,25.33,147.03,5.41,177.77
2,class0,0.4153,269.7,406.2,288.9,640.0,25.33,147.03,5.41,177.77
3,,,,,,,10.52,118.40,1.15,130.07
4,class0,0.5173,284.7,13.6,307.6,52.5,10.23,281.88,2.15,294.26
4,class0,0.4124,362.5,84.0,381.7,115.9,10.23,281.88,2.15,294.26
4,class0,0.3597,357.9,79.7,384.5,117.8,10.23,281.88,2.15,294.26
5,class0,0.5548,91.4,42.7,128.9,99.2,10.36,136.79,1.64,148.78
6,class0,0.7977,271.0,505.7,355.0,604.8,11.35,164.91,1.66,177.93
6,class0,0.6803,292.4,191.4,333.4,245.9,11.35,164.91,1.66,177.93
7,class0,0.7248,193.7,247.9,235.4,297.1,10.58,162.08,2.74,175.40
8,class0,0.5467,239.5,479.0,267.2,639.2,8.95,143.76,1.99,154.69
9,class0,0.8063,249.0,124.5,307.4,192.6,10.26,110.36,1.62,122.24
9,class0,0.7994,563.8,208.0,640.0,290.0,10.26,110.36,1.62,122.24
9,class0,0.6499,0.0,210.9,55.2,296.1,10.26,110.36,1.62,122.24
10,class0,0.5893,240.1,109.9,278.6,162.1,8.08,166.22,1.60,175.90
10,class0,0.5888,402.0,615.5,437.5,639.6,8.08,166.22,1.60,175.90
11,class0,0.8306,198.0,122.2,278.1,202.6,10.03,118.02,1.57,129.62
12,class0,0.5422,165.4,346.2,189.6,384.2,12.97,109.97,2.16,125.11
12,class0,0.4848,412.2,12.6,429.9,45.8,12.97,109.97,2.16,125.11
13,class0,0.6078,60.9,85.4,97.6,122.4,13.48,114.53,1.71,129.72
13,class0,0.5646,434.4,143.2,459.7,182.9,13.48,114.53,1.71,129.72
13,class0,0.5547,216.1,426.4,239.3,461.2,13.48,114.53,1.71,129.72
14,class0,0.7040,394.8,5.9,433.3,238.4,8.73,115.02,2.13,125.88
14,class0,0.5058,290.1,492.9,348.4,528.2,8.73,115.02,2.13,125.88
14,class0,0.4344,372.6,323.8,401.4,617.7,8.73,115.02,2.13,125.88
15,class0,0.7501,2.9,417.4,96.3,476.6,10.28,112.41,4.53,127.23
15,class0,0.6866,259.8,87.8,309.1,147.6,10.28,112.41,4.53,127.23
16,class0,0.5313,271.8,387.8,299.1,433.1,9.46,114.03,1.61,125.10
17,class0,0.6167,385.1,381.0,425.2,432.6,9.45,113.83,1.53,124.81
17,class0,0.5600,331.8,147.5,361.7,193.3,9.45,113.83,1.53,124.81
18,class0,0.5400,214.5,176.6,236.6,209.9,9.33,115.59,1.69,126.62
18,class0,0.5250,393.7,429.8,409.3,457.8,9.33,115.59,1.69,126.62
19,class0,0.7324,241.1,7.4,299.0,78.6,8.01,110.84,2.29,121.14
19,class0,0.5301,251.1,515.6,269.0,543.7,8.01,110.84,2.29,121.14
20,class0,0.7062,245.8,563.5,298.5,630.1,10.53,108.72,1.56,120.81
20,class0,0.6165,178.4,24.0,222.6,79.7,10.53,108.72,1.56,120.81
20,class0,0.4772,385.2,45.2,422.9,99.8,10.53,108.72,1.56,120.81
21,class0,0.6662,532.3,223.8,578.5,271.1,7.95,105.09,1.91,114.95
21,class0,0.5140,251.1,481.0,275.5,520.1,7.95,105.09,1.91,114.95
21,class0,0.4315,156.9,355.0,169.0,398.4,7.95,105.09,1.91,114.95
21,class0,0.3642,246.9,475.6,277.3,523.0,7.95,105.09,1.91,114.95
22,,,,,,,8.19,108.07,1.03,117.29
23,class0,0.4571,257.5,415.7,281.9,457.2,7.58,113.74,1.55,122.87
23,class0,0.3946,480.2,264.6,574.1,332.9,7.58,113.74,1.55,122.87
24,class0,0.8028,167.4,351.3,280.4,472.4,8.36,110.76,1.59,120.71
25,class0,0.5039,380.9,595.3,483.6,639.9,25.30,162.22,1.53,189.05
25,class0,0.3685,395.7,599.9,473.0,639.4,25.30,162.22,1.53,189.05
26,class0,0.4908,327.0,469.5,355.2,516.4,13.45,108.58,1.52,123.55
26,class0,0.4369,337.1,149.3,368.2,384.8,13.45,108.58,1.52,123.55
27,class0,0.6041,304.4,0.0,332.7,223.7,8.91,109.75,1.64,120.30
28,class0,0.3919,214.4,200.1,236.2,233.9,9.78,115.36,1.65,126.79
28,class0,0.3683,253.9,254.4,278.4,291.4,9.78,115.36,1.65,126.79
29,class0,0.4830,315.1,32.0,329.7,57.6,10.36,221.84,11.02,243.23
30,class0,0.7092,293.0,0.0,315.3,184.2,9.73,122.03,2.37,134.13
30,class0,0.3981,0.0,463.5,114.1,612.4,9.73,122.03,2.37,134.13
31,,,,,,,9.63,109.62,1.00,120.26
32,class0,0.4913,357.5,511.2,379.8,640.0,12.11,159.01,3.31,174.43
33,class0,0.4735,306.4,526.9,326.7,566.2,10.21,111.20,1.62,123.03
33,class0,0.4708,325.6,82.8,344.8,117.5,10.21,111.20,1.62,123.03
34,class0,0.6075,592.5,314.3,622.0,344.3,8.16,114.37,2.20,124.72
34,class0,0.3752,307.9,438.9,332.2,480.4,8.16,114.37,2.20,124.72
35,class0,0.6869,435.3,66.4,503.9,135.7,9.68,112.71,1.76,124.14
36,,,,,,,8.53,109.26,1.09,118.88
37,class0,0.4068,2.2,602.6,61.4,639.7,10.41,112.33,64.02,186.76
38,class0,0.7241,367.4,231.2,444.2,299.9,7.40,108.29,1.45,117.14
38,class0,0.5736,133.6,513.5,173.3,564.4,7.40,108.29,1.45,117.14
